text,name,firm
Brad Burnham is a partner at Union Square Ventures. He started working in information technology with AT&T in 1979. Brad spun Echo Logic out of Bell Laboratories in 1989 and joined AT&T Ventures in 1993. Brad co-founded TACODA in 2001 before joining Fred to create Union Square Ventures in 2003. Brad majored in political science at Wesleyan University. He is married with two kids and lives in New York City.,Brad Burnham,Union Square Ventures
"John Buttrick is a partner at Union Square Ventures, joining the firm in 2010. He began his career in 1985 as a corporate lawyer at Davis Polk & Wardwell in New York and Paris. He was a partner in the firm’s mergers and acquisitions group from 1994-2000. From 2000-2004, John was a partner at LiveWire, a private equity group that acquired and managed back-office software companies. Between 2004 and 2010, he was involved in a number of start-up ventures in the US and Europe as an investor, director and consultant. He currently serves as Board Chair of Environmental Advocates of New York. John majored in American Studies at Northwestern University and has a JD degree from Villanova University School of Law. John has lived in New York City most of his life.",John Buttrick,Union Square Ventures
"Rebecca Kaden is a Partner at Union Square Ventures. She began her career as a journalist and, prior to USV, was a Partner at Maveron, a consumer-focused early stage fund. Rebecca was born in New York City. She studied English and American Literature at Harvard and received her MBA from Stanford.",Rebecca Kaden,Union Square Ventures
"Albert Wenger is a managing partner at Union Square Ventures. Before joining USV, Albert was the president of del.icio.us through the company’s sale to Yahoo and an angel investor (Etsy, Tumblr). He previously founded or co-founded several companies, including a management consulting firm and an early hosted data analytics company. Albert graduated from Harvard College in economics and computer science and holds a Ph.D. in Information Technology from MIT.",Albert Wenger,Union Square Ventures
"Andy Weissman is a managing partner at Union Square Ventures. Andy began his career in the Internet in the mid-90s. Prior to joining USV, in 2007 he co-founded betaworks, which both created and invested in social, real-time applications and services. Andy was born in New York City and has a BA from Wesleyan University and a JD from Georgetown.",Andy Weissman,Union Square Ventures
Fred Wilson has been a venture capitalist since 1987. He currently is a partner at Union Square Ventures and also founded Flatiron Partners. Fred has a Bachelors degree in Mechanical Engineering from MIT and an MBA from The Wharton School of Business at the University of Pennsylvania. Fred is married with three children and lives in New York City. Fred is Chairman of the NYC Department of Education's CS4All Capital Campaign and is co-Chairman of Tech:NYC.,Fred Wilson,Union Square Ventures
"Bethany Crystal is the network General Manager for Union Square Ventures, where she works with the great teams within the portfolio to help empower all of their entrepreneurs to learn from each other and build better businesses. Prior to this role, she worked at Stack Overflow, where she held several different functions in sales and marketing. Bethany has a degree in journalism from Northwestern University and remains an active leader in the alumni community. She lives in New York City with her husband and cat.",Bethany Crystal,Union Square Ventures
"Jacqueline Garavente joined Union Square Ventures in August 2016. She began her career in Artificial Intelligence at IBM Watson before moving to the NYC based startup, Dataminr. Her past areas of research include machine learning, application of open source data and the intersection of technology and economic development . She has been happily based in NYC with brief stints in Africa and LatAm. She graduated from New York University. ",Jacqueline Garavente,Union Square Ventures
"Zach Goldstein joined Union Square Ventures in February 2018. Prior to USV, Zach was a Product Manager at Slice, a NYC-based startup where he was the first business hire and helped grow the product and operations teams. He began his career at BlackRock as an institutional investment consulting analyst. Zach sits on the board of the Hebrew Educational Society and Northwestern University Hillel. He has a degree from Northwestern University in Economics and Psychology, and is a CFA charterholder.",Zach Goldstein,Union Square Ventures
"Nick Grossman is GM for Special Projects at USV. In this role, he works with USV portfolio companies on tech, product and strategy issues; explores new technologies and their impacts on society and on markets; and engages on public policy, regulatory and civic issues.
 Previously, he led an incubator for startups at the intersection of cities,  data and open source at OpenPlans. Nick has a degree in Urban Studies from Stanford University, and learned everything he knows about technology from generous people on the internet and by using view:source.
He grew up in Brooklyn and now lives outside of Boston with his wife and two children.",Nick Grossman,Union Square Ventures
Lauren Young is the Events Manager for Union Square Ventures. She directs global events and programming opportunities for our portfolio network of 60+ companies. Lauren joined USV in May of 2014 as an Executive Assistant & Office Manager and transitioned into this role in July of 2016.  Prior to joining our team she held the position of Assistant Director of Operations for the Institute for Data Sciences and Engineering at Columbia University. She received an undergraduate degree in Finance from Siena College and a Master of Business Administration in 2012 from Union Graduate College. Lauren grew up in Upstate New York and lives in Manhattan with her husband. ,Lauren Young,Union Square Ventures
